LOCATION,MNF_YEAR,BRAND,MODEL,VARIANT,DRIVEN_KM,FUELTYPE,NOOF_OWNERS,PRICE
Noida,2017,Maruti,Vitara Brezza VDI OPT,Manual,"83,741 km",Diesel,1st Owner,"₹7,00,299"
Gurgaon,2018,Hyundai,Creta 1.6 E + VTVT,Manual,"39,294 km",Petrol,2nd Owner,"₹8,98,799"
Gurgaon,2018,Maruti,Vitara Brezza VDI,Manual,"82,601 km",Diesel,1st Owner,"₹6,36,299"
Gurgaon,2017,Toyota,Innova Crysta Touring Sport Diesel AT,Automatic,"85,295 km",Diesel,1st Owner,"₹14,99,499"
Gurgaon,2016,Maruti,Vitara Brezza ZDI,Manual,"92,569 km",Diesel,1st Owner,"₹6,69,099"
Gurgaon,2018,Maruti,Vitara Brezza VDI OPT,Manual,"60,395 km",Diesel,1st Owner,"₹6,83,399"
Gurgaon,2019,Maruti,Vitara Brezza VDI,Manual,"28,137 km",Diesel,1st Owner,"₹7,92,999"
Gurgaon,2018,Maruti,Vitara Brezza VDI,Manual,"20,245 km",Diesel,1st Owner,"₹7,69,899"
Gurgaon,2018,Maruti,Vitara Brezza ZDI + AMT,Automatic,"28,144 km",Diesel,1st Owner,"₹9,13,699"
Gurgaon,2018,Ford,Ecosport 1.5TITANIUM TDCI,Manual,"21,169 km",Diesel,1st Owner,"₹8,88,999"
Gurgaon,2019,Hyundai,VENUE 1.0 TURBO GDI SX+ AT,Automatic,"7,676 km",Petrol,1st Owner,"₹9,95,499"
Gurgaon,2018,Maruti,Vitara Brezza VDI,Manual,"40,458 km",Diesel,1st Owner,"₹7,79,299"
Gurgaon,2015,Hyundai,Creta 1.6 SX PLUS DIESEL,Manual,"80,045 km",Diesel,2nd Owner,"₹7,76,799"
Gurgaon,2016,Maruti,Vitara Brezza ZDI,Manual,"72,378 km",Diesel,1st Owner,"₹6,58,799"
Gurgaon,2016,Maruti,Vitara Brezza ZDI,Manual,"21,675 km",Diesel,1st Owner,"₹7,17,099"
Gurgaon,2016,Maruti,Vitara Brezza ZDI,Manual,"70,555 km",Diesel,2nd Owner,"₹6,54,399"
Gurgaon,2018,Maruti,Eeco 5 STR CNG WITH AC PLUSHTR,Manual,"36,507 km",Petrol + CNG,1st Owner,"₹3,43,699"
Gurgaon,2018,Maruti,Vitara Brezza VDI OPT,Manual,"36,116 km",Diesel,1st Owner,"₹6,86,499"
Gurgaon,2018,Maruti,Vitara Brezza VDI,Manual,"34,119 km",Diesel,1st Owner,"₹6,99,499"
Gurgaon,2018,Maruti,Vitara Brezza VDI,Manual,"61,718 km",Diesel,1st Owner,"₹6,50,599"
Gurgaon,2016,Hyundai,Creta 1.6 SX PLUS DIESEL,Manual,"95,195 km",Diesel,1st Owner,"₹8,56,199"
Gurgaon,2020,Hyundai,Verna S PETROL MT,Manual,"19,158 km",Petrol,1st Owner,"₹8,87,099"
Gurgaon,2017,Volkswagen,Ameo TRENDLINE 1.2,Manual,"40,293 km",Petrol,2nd Owner,"₹5,17,799"
Gurgaon,2017,Maruti,Ciaz VXI,Manual,"55,212 km",Petrol,1st Owner,"₹5,83,799"
Gurgaon,2017,Skoda,Rapid 1.5 TDI AT STYLE PLUS,Automatic,"1,38,467 km",Diesel,1st Owner,"₹5,99,099"
Gurgaon,2013,Honda,Amaze 1.5 SMT I DTEC,Manual,"93,447 km",Diesel,1st Owner,"₹2,54,399"
Gurgaon,2020,Honda,City ZX CVT,Automatic,"10,322 km",Petrol,1st Owner,"₹12,71,199"
Gurgaon,2015,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"61,732 km",Petrol,1st Owner,"₹4,76,699"
Gurgaon,2017,Ford,Figo Aspire 1.2 TITANIUM PETROL,Manual,"41,186 km",Petrol,1st Owner,"₹4,60,199"
Gurgaon,2017,Maruti,Swift Dzire LDI BS IV,Manual,"51,316 km",Diesel,2nd Owner,"₹5,11,099"
Gurgaon,2013,Hyundai,Verna FLUIDIC 1.6 SX CRDI OPT,Manual,"53,517 km",Diesel,1st Owner,"₹4,82,299"
Gurgaon,2019,Maruti,Ciaz DELTA 1.5 SHVS VVT MT,Manual,"7,620 km",Petrol,2nd Owner,"₹8,25,399"
Gurgaon,2020,Honda,Amaze 1.2 V MT I-VTEC,Manual,"13,903 km",Petrol,1st Owner,"₹6,91,599"
Gurgaon,2016,Honda,Amaze 1.2 SMT I VTEC,Manual,"66,399 km",Petrol + CNG,2nd Owner,"₹4,82,099"
Gurgaon,2013,Maruti,Swift Dzire LDI BS IV,Manual,"49,944 km",Diesel,2nd Owner,"₹3,54,299"
Gurgaon,2014,Maruti,Ciaz VDI PLUS,Manual,"62,366 km",Diesel,1st Owner,"₹5,25,199"
Gurgaon,2015,Maruti,Swift Dzire VDI ABS,Manual,"72,380 km",Diesel,1st Owner,"₹4,80,099"
Gurgaon,2012,Maruti,Swift Dzire VDI BS IV,Manual,"54,918 km",Diesel,1st Owner,"₹4,55,499"
Gurgaon,2019,Maruti,Dzire VDI,Manual,"26,352 km",Diesel,1st Owner,"₹6,29,899"
Gurgaon,2016,Maruti,Ciaz VXI OPT,Manual,"76,459 km",Petrol,2nd Owner,"₹5,47,499"
Gurgaon,2012,Maruti,Swift Dzire ZDI,Manual,"52,479 km",Diesel,1st Owner,"₹3,79,299"
Gurgaon,2017,Maruti,Swift VXI,Manual,"25,626 km",Petrol,1st Owner,"₹5,38,699"
Gurgaon,2017,Maruti,Swift VDI ABS,Manual,"69,894 km",Diesel,1st Owner,"₹4,74,699"
Gurgaon,2015,Maruti,Swift VDI ABS,Manual,"76,264 km",Diesel,1st Owner,"₹4,55,299"
Gurgaon,2011,Hyundai,i20 MAGNA O 1.2,Manual,"44,007 km",Petrol,1st Owner,"₹2,58,999"
Gurgaon,2017,Hyundai,Elite i20 SPORTZ 1.2,Manual,"64,918 km",Petrol,1st Owner,"₹5,03,999"
Gurgaon,2018,Volkswagen,Polo COMFORTLINE 1.0 PETROL,Manual,"23,826 km",Petrol,1st Owner,"₹5,27,699"
Gurgaon,2018,Hyundai,Elite i20 SPORTZ 1.2,Manual,"48,582 km",Petrol,1st Owner,"₹5,90,199"
Gurgaon,2020,Maruti,Baleno DELTA 1.2 K12,Manual,"11,679 km",Petrol,1st Owner,"₹6,63,599"
Gurgaon,2018,Maruti,Baleno ZETA 1.2 K12,Manual,"37,284 km",Petrol,1st Owner,"₹6,09,999"
Gurgaon,2017,Maruti,Celerio ZXI AMT,Automatic,"38,235 km",Petrol,1st Owner,"₹4,10,499"
Gurgaon,2017,Maruti,Wagon R 1.0 VXI,Manual,"4,956 km",Petrol,1st Owner,"₹3,89,199"
Gurgaon,2017,Maruti,Baleno DELTA 1.2 K12,Manual,"20,990 km",Petrol,1st Owner,"₹6,05,699"
Gurgaon,2015,Maruti,Swift VDI ABS,Manual,"1,64,520 km",Diesel,1st Owner,"₹3,82,699"
Gurgaon,2017,Maruti,Alto 800 LXI,Manual,"2,335 km",Petrol,1st Owner,"₹3,11,999"
Gurgaon,2017,Ford,New Figo 1.5 TITANIUM,Manual,"41,678 km",Diesel,2nd Owner,"₹4,82,699"
Gurgaon,2014,Maruti,Swift VDI,Manual,"1,07,030 km",Diesel,1st Owner,"₹4,21,699"
Gurgaon,2016,Maruti,Baleno SIGMA 1.2 K12,Manual,"57,595 km",Petrol,2nd Owner,"₹4,01,199"
Gurgaon,2019,Maruti,Swift VXI,Manual,"31,304 km",Petrol,1st Owner,"₹5,25,499"
Gurgaon,2016,Hyundai,Elite i20 1.4 CRDI ASTA (O),Manual,"78,560 km",Diesel,1st Owner,"₹5,15,500"
Gurgaon,2012,Maruti,Swift VDI,Manual,"31,084 km",Diesel,1st Owner,"₹3,14,499"
Gurgaon,2015,BMW,3 Series 320D,Automatic,"33,958 km",Diesel,2nd Owner,"₹18,42,699"
Gurgaon,2016,Mercedes,Benz E Class E200 CGI EDITION E,Manual,"19,041 km",Petrol,2nd Owner,"₹23,22,099"
Gurgaon,2014,Ssangyong,Rexton RX 6,Manual,"45,187 km",Diesel,2nd Owner,"₹6,48,399"
Gurgaon,2015,Audi,Q3 35 TDI Quattro,Automatic,"67,720 km",Diesel,3rd Owner,"₹15,60,499"
Gurgaon,2020,Hyundai,Verna S PETROL MT,Manual,"19,158 km",Petrol,1st Owner,"₹8,87,099"
Gurgaon,2017,Volkswagen,Ameo TRENDLINE 1.2,Manual,"40,293 km",Petrol,2nd Owner,"₹5,17,799"
Gurgaon,2017,Maruti,Ciaz VXI,Manual,"55,212 km",Petrol,1st Owner,"₹5,83,799"
Gurgaon,2017,Skoda,Rapid 1.5 TDI AT STYLE PLUS,Automatic,"1,38,467 km",Diesel,1st Owner,"₹5,99,099"
Gurgaon,2013,Honda,Amaze 1.5 SMT I DTEC,Manual,"93,447 km",Diesel,1st Owner,"₹2,54,399"
Gurgaon,2020,Honda,City ZX CVT,Automatic,"10,322 km",Petrol,1st Owner,"₹12,71,199"
Gurgaon,2015,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"61,732 km",Petrol,1st Owner,"₹4,76,699"
Gurgaon,2015,Maruti,Swift Dzire VDI ABS,Manual,"72,380 km",Diesel,1st Owner,"₹4,80,099"
Gurgaon,2012,Maruti,Swift Dzire VDI BS IV,Manual,"54,918 km",Diesel,1st Owner,"₹4,55,499"
Gurgaon,2019,Maruti,Dzire VDI,Manual,"26,352 km",Diesel,1st Owner,"₹6,29,899"
Gurgaon,2016,Maruti,Ciaz VXI OPT,Manual,"76,459 km",Petrol,2nd Owner,"₹5,47,499"
Gurgaon,2012,Maruti,Swift Dzire ZDI,Manual,"52,479 km",Diesel,1st Owner,"₹3,79,299"
Gurgaon,2015,Honda,Amaze 1.2 SMT I VTEC,Manual,"62,462 km",Petrol,1st Owner,"₹4,89,699"
Gurgaon,2017,Ford,Figo Aspire 1.2 TITANIUM PETROL,Manual,"41,186 km",Petrol,1st Owner,"₹4,60,199"
Gurgaon,2017,Maruti,Swift Dzire LDI BS IV,Manual,"51,316 km",Diesel,2nd Owner,"₹5,11,099"
Gurgaon,2013,Hyundai,Verna FLUIDIC 1.6 SX CRDI OPT,Manual,"53,517 km",Diesel,1st Owner,"₹4,82,299"
Gurgaon,2014,Ssangyong,Rexton RX 6,Manual,"45,187 km",Diesel,2nd Owner,"₹6,48,399"
Gurgaon,2015,Audi,Q3 35 TDI Quattro,Automatic,"67,720 km",Diesel,3rd Owner,"₹15,60,499"
Gurgaon,2015,BMW,3 Series 320D,Automatic,"33,958 km",Diesel,2nd Owner,"₹18,42,699"
Gurgaon,2016,Mercedes,Benz E Class E200 CGI EDITION E,Manual,"19,041 km",Petrol,2nd Owner,"₹23,22,099"
Gurgaon,2018,Ford,Ecosport 1.5TITANIUM TDCI,Manual,"21,169 km",Diesel,1st Owner,"₹8,88,999"
Gurgaon,2019,Hyundai,VENUE 1.0 TURBO GDI SX+ AT,Automatic,"7,676 km",Petrol,1st Owner,"₹9,95,499"
Gurgaon,2018,Maruti,Vitara Brezza VDI,Manual,"40,458 km",Diesel,1st Owner,"₹7,79,299"
Gurgaon,2018,Hyundai,Creta 1.6 E + VTVT,Manual,"39,294 km",Petrol,2nd Owner,"₹8,98,799"
Gurgaon,2018,Maruti,Vitara Brezza VDI,Manual,"82,601 km",Diesel,1st Owner,"₹6,36,299"
Gurgaon,2017,Toyota,Innova Crysta Touring Sport Diesel AT,Automatic,"85,295 km",Diesel,1st Owner,"₹14,99,499"
Gurgaon,2016,Maruti,Vitara Brezza ZDI,Manual,"92,569 km",Diesel,1st Owner,"₹6,69,099"
Gurgaon,2018,Maruti,Vitara Brezza VDI OPT,Manual,"60,395 km",Diesel,1st Owner,"₹6,83,399"
Gurgaon,2019,Maruti,Vitara Brezza VDI,Manual,"28,137 km",Diesel,1st Owner,"₹7,92,999"
Gurgaon,2018,Maruti,Vitara Brezza VDI,Manual,"20,245 km",Diesel,1st Owner,"₹7,69,899"
Gurgaon,2018,Maruti,Vitara Brezza ZDI + AMT,Automatic,"28,144 km",Diesel,1st Owner,"₹9,13,699"
Gurgaon,2015,Hyundai,Creta 1.6 S,Manual,"22,587 km",Petrol,1st Owner,"₹8,02,599"
Gurgaon,2014,Ford,Ecosport 1.5TITANIUM TDCI,Manual,"62,254 km",Diesel,1st Owner,"₹5,34,299"
Gurgaon,2018,Maruti,Vitara Brezza ZDI AMT,Automatic,"43,568 km",Diesel,2nd Owner,"₹7,76,099"
Gurgaon,2018,Maruti,Eeco 7 STR,Manual,"18,876 km",Petrol,2nd Owner,"₹3,40,699"
Gurgaon,2017,Maruti,Vitara Brezza VDI OPT,Manual,"83,741 km",Diesel,1st Owner,"₹7,00,299"
Mumbai,2017,Honda,WR-V 1.2 i-VTEC VX MT,Manual,"1,00,164 km",Petrol,1st Owner,"₹6,92,499"
Mumbai,2018,Ford,Ecosport TREND + 1.5 TI VCT AT,Manual,"20,282 km",Petrol,2nd Owner,"₹7,20,999"
Mumbai,2017,Hyundai,Creta 1.6 SX CRDI,Manual,"1,18,008 km",Diesel,1st Owner,"₹8,56,899"
Mumbai,2017,Maruti,Ertiga VDI SHVS,Manual,"79,817 km",Diesel,1st Owner,"₹7,88,499"
Mumbai,2020,Maruti,Vitara Brezza ZXI +,Manual,"18,943 km",Petrol,1st Owner,"₹9,17,499"
Mumbai,2018,Honda,WR-V 1.2 i-VTEC VX MT,Manual,"16,631 km",Petrol,1st Owner,"₹8,50,899"
Mumbai,2020,Hyundai,VENUE 1.0 TURBO GDI SX+ AT,Automatic,"21,526 km",Petrol,1st Owner,"₹11,60,199"
Mumbai,2017,Hyundai,Creta 1.6 CRDI SX PLUS AUTO,Automatic,"97,226 km",Diesel,1st Owner,"₹11,28,199"
Mumbai,2018,Maruti,Vitara Brezza ZDI PLUS DUAL TONE,Manual,"59,639 km",Diesel,1st Owner,"₹8,49,099"
Mumbai,2019,Mahindra,XUV 3OO 1.2 W6 MT,Manual,"9,365 km",Petrol,1st Owner,"₹8,19,199"
Mumbai,2018,Mahindra,TUV300 T 10 MT Dual Tone,Manual,"29,735 km",Diesel,2nd Owner,"₹7,77,599"
Mumbai,2014,Honda,Mobilio 1.5 S I DTEC,Manual,"24,169 km",Diesel,1st Owner,"₹5,00,099"
Mumbai,2019,Maruti,Ertiga VDI,Manual,"31,584 km",Diesel,1st Owner,"₹8,57,499"
Mumbai,2014,Ford,Ecosport 1.5 TREND TI VCT,Manual,"41,955 km",Petrol,1st Owner,"₹4,51,099"
Mumbai,2018,Tata,Hexa Varicor 400 XTA,Automatic,"39,905 km",Diesel,1st Owner,"₹13,55,199"
Mumbai,2018,Ford,Ecosport 1.5 TITANIUM PLUS TI VCT AT,Manual,"29,751 km",Petrol,1st Owner,"₹8,34,499"
Mumbai,2017,Ford,Ecosport 1.5 TITANIUM TI VCT,Manual,"10,720 km",Petrol,1st Owner,"₹6,83,699"
Mumbai,2020,Ford,Ecosport 1.5TITANIUM TDCI,Manual,"7,261 km",Diesel,1st Owner,"₹10,11,099"
Mumbai,2016,Maruti,Vitara Brezza ZDI PLUS,Manual,"97,103 km",Diesel,1st Owner,"₹7,73,199"
Mumbai,2018,Maruti,S Cross SIGMA SHVS,Manual,"37,002 km",Diesel,1st Owner,"₹7,80,199"
Mumbai,2020,Skoda,Rapid 1.0 AMBITION TSI MT,Manual,"6,981 km",Petrol,1st Owner,"₹9,01,299"
Mumbai,2015,Maruti,Ciaz VDI,Manual,"1,61,918 km",Diesel,1st Owner,"₹5,28,299"
Mumbai,2018,Hyundai,Verna 1.6 SX VTVT AT (O),Automatic,"16,869 km",Petrol,2nd Owner,"₹10,53,199"
Mumbai,2018,Honda,City V MT PETROL,Manual,"18,363 km",Petrol,1st Owner,"₹10,50,299"
Mumbai,2018,Hyundai,Verna 1.6 SX VTVT AT (O),Automatic,"12,584 km",Petrol,1st Owner,"₹11,23,999"
Mumbai,2018,Hyundai,Verna 1.6 SX VTVT AT (O),Automatic,"36,856 km",Petrol,1st Owner,"₹11,24,899"
Mumbai,2013,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"42,182 km",Petrol,1st Owner,"₹4,55,099"
Mumbai,2019,Hyundai,Verna 1.6 SX VTVT,Manual,"11,728 km",Petrol,1st Owner,"₹8,93,199"
Mumbai,2016,Volkswagen,Ameo HIGHLINE 1.2,Manual,"32,750 km",Petrol,2nd Owner,"₹4,73,299"
Mumbai,2013,Honda,Amaze 1.2 EXMT I VTEC,Manual,"15,271 km",Petrol,1st Owner,"₹4,14,599"
Mumbai,2019,Honda,Civic VX CVT i-VTEC,Automatic,"15,611 km",Petrol,1st Owner,"₹15,27,199"
Mumbai,2018,Honda,Amaze 1.2 V CVT I VTEC,Manual,"48,214 km",Petrol,1st Owner,"₹6,36,899"
Mumbai,2018,Honda,Amaze 1.2 VXMT I VTEC,Manual,"14,604 km",Petrol,1st Owner,"₹6,40,799"
Mumbai,2019,Maruti,Dzire VXI,Manual,"19,015 km",Petrol,1st Owner,"₹6,53,799"
Mumbai,2017,Maruti,Dzire VDI,Manual,"1,07,185 km",Diesel,1st Owner,"₹6,74,399"
Mumbai,2017,Maruti,Dzire ZXI AMT,Automatic,"1,16,512 km",Petrol,1st Owner,"₹5,75,499"
Mumbai,2018,Maruti,Ciaz ZETA 1.4 VVT AMT,Automatic,"31,002 km",Petrol,1st Owner,"₹8,08,499"
Mumbai,2018,Honda,Amaze 1.2 V CVT I VTEC,Manual,"11,852 km",Petrol,1st Owner,"₹7,07,599"
Mumbai,2014,Honda,Amaze 1.5 SX MT I DTEC,Manual,"54,831 km",Diesel,1st Owner,"₹3,69,499"
Mumbai,2020,Maruti,Dzire VXI AMT,Automatic,"3,000 km",Petrol,1st Owner,"₹7,58,599"
Mumbai,2014,Maruti,Celerio VXI,Manual,"33,246 km",Petrol,1st Owner,"₹4,06,299"
Mumbai,2019,Hyundai,Elite i20 1.2 SPORTS PLUS VTVT,Manual,"13,240 km",Petrol,1st Owner,"₹7,34,099"
Mumbai,2017,Hyundai,Elite i20 SPORTZ 1.4,Manual,"68,595 km",Diesel,2nd Owner,"₹6,09,899"
Mumbai,2017,Hyundai,Elite i20 ERA 1.2,Manual,"11,371 km",Petrol,1st Owner,"₹5,39,199"
Mumbai,2018,Volkswagen,Polo HIGH LINE PLUS 1.0,Manual,"9,207 km",Petrol,1st Owner,"₹6,55,599"
Mumbai,2017,Hyundai,Elite i20 ASTA 1.2,Manual,"25,111 km",Petrol,1st Owner,"₹6,09,299"
Mumbai,2019,Maruti,Baleno ZETA 1.2 K12,Manual,"10,357 km",Petrol,1st Owner,"₹6,98,299"
Mumbai,2019,Maruti,Baleno DELTA 1.2 K12,Manual,"15,112 km",Petrol,1st Owner,"₹6,47,599"
Mumbai,2017,Maruti,Wagon R 1.0 VXI,Manual,"33,826 km",Petrol,1st Owner,"₹4,05,399"
Mumbai,2017,Maruti,Baleno ALPHA 1.2 K12,Manual,"31,950 km",Petrol,1st Owner,"₹6,28,799"
Mumbai,2017,Hyundai,Grand i10 magna 1.2 crdi,Manual,"32,683 km",Diesel,1st Owner,"₹4,89,199"
Mumbai,2018,Maruti,Swift VDI,Manual,"5,284 km",Diesel,1st Owner,"₹6,50,399"
Mumbai,2018,Maruti,Wagon R 1.0 VXI AMT,Automatic,"35,242 km",Petrol,1st Owner,"₹4,50,199"
Mumbai,2016,Maruti,Swift ZDI,Manual,"82,420 km",Diesel,1st Owner,"₹5,34,399"
Mumbai,2014,Maruti,Alto 800 LXI,Manual,"22,626 km",Petrol,2nd Owner,"₹2,48,899"
Mumbai,2014,Maruti,Alto 800 LXI,Manual,"46,886 km",Petrol,2nd Owner,"₹2,74,699"
Mumbai,2013,Hyundai,i10 SPORTZ 1.2 AT KAPPA2,Automatic,"38,942 km",Petrol,2nd Owner,"₹3,55,699"
Mumbai,2020,Maruti,S PRESSO VXI,Manual,"8,651 km",Petrol,1st Owner,"₹4,32,599"
Mumbai,2016,Hyundai,Grand i10 1.2 ASTA (O) AT,Automatic,"11,819 km",Petrol,2nd Owner,"₹5,10,899"
Mumbai,2015,Maruti,Alto K10 VXI,Manual,"25,490 km",Petrol,1st Owner,"₹3,26,399"
Mumbai,2012,Honda,Jazz 1.2 SELECT I VTEC,Manual,"65,710 km",Petrol,2nd Owner,"₹3,23,899"
Mumbai,2013,Hyundai,i20 MAGNA 1.4 CRDI,Manual,"72,869 km",Diesel,1st Owner,"₹3,94,499"
Mumbai,2015,Maruti,Celerio VXI AMT,Automatic,"53,739 km",Petrol,1st Owner,"₹3,34,999"
Mumbai,2018,Maruti,Baleno ZETA 1.2 K12,Manual,"19,481 km",Petrol,1st Owner,"₹6,34,199"
Mumbai,2013,Maruti,Ritz VXI BS IV,Manual,"21,445 km",Petrol,2nd Owner,"₹3,23,899"
Mumbai,2017,Maruti,IGNIS DELTA 1.2 K12,Manual,"30,608 km",Petrol,1st Owner,"₹4,15,099"
Mumbai,2017,Volkswagen,Polo GT TSI 1.2 PETROL AT,Automatic,"12,773 km",Petrol,1st Owner,"₹7,47,099"
Mumbai,2015,Maruti,Alto 800 LXI CNG,Manual,"61,386 km",Petrol + CNG,3rd Owner,"₹2,36,499"
Mumbai,2019,Maruti,Baleno ZETA 1.2 K12,Manual,"15,076 km",Petrol,1st Owner,"₹6,51,999"
Mumbai,2019,Renault,Kwid RXT Opt,Manual,"4,523 km",Petrol,1st Owner,"₹3,81,799"
Mumbai,2017,Hyundai,Elite i20 ASTA 1.2,Manual,"11,775 km",Petrol,1st Owner,"₹6,54,999"
Mumbai,2016,Hyundai,Grand i10 SPORTZ 1.2 KAPPA VTVT,Manual,"33,565 km",Petrol,2nd Owner,"₹4,14,099"
Mumbai,2016,Maruti,Celerio ZXI,Manual,"39,682 km",Petrol,1st Owner,"₹4,19,599"
Mumbai,2010,Hyundai,i20 MAGNA O 1.2,Manual,"87,846 km",Petrol + CNG,2nd Owner,"₹1,63,299"
Mumbai,2019,Maruti,Swift ZXI,Manual,"11,270 km",Petrol,1st Owner,"₹6,28,199"
Mumbai,2016,Hyundai,i20 Active 1.4 S,Manual,"82,548 km",Diesel,1st Owner,"₹5,96,399"
Mumbai,2014,Maruti,Wagon R Stingray VXI,Manual,"81,428 km",Petrol,2nd Owner,"₹3,22,799"
Mumbai,2017,Renault,Kwid 1.0 RXT,Manual,"31,147 km",Petrol,1st Owner,"₹3,03,199"
Mumbai,2016,Maruti,Baleno ZETA 1.2 K12,Manual,"50,022 km",Petrol,1st Owner,"₹5,32,199"
Mumbai,2019,Maruti,Swift VDI,Manual,"19,590 km",Diesel,1st Owner,"₹7,03,799"
Mumbai,2017,Maruti,IGNIS DELTA 1.2 K12,Manual,"12,099 km",Petrol,1st Owner,"₹4,76,599"
Mumbai,2020,Maruti,Swift VXI,Manual,"16,286 km",Petrol,1st Owner,"₹6,15,399"
Mumbai,2018,Maruti,Baleno ZETA 1.2 K12,Manual,"23,172 km",Petrol,1st Owner,"₹6,37,699"
Mumbai,2015,Hyundai,Eon ERA PLUS,Manual,"20,419 km",Petrol,1st Owner,"₹3,11,699"
Mumbai,2018,Maruti,Swift VXI,Manual,"1,08,532 km",Petrol,1st Owner,"₹5,37,299"
Mumbai,2016,Maruti,Celerio ZXI OPT AMT,Automatic,"95,276 km",Petrol,2nd Owner,"₹3,91,799"
Mumbai,2016,Honda,Brio 1.2 S MT I VTEC,Manual,"15,805 km",Petrol,1st Owner,"₹4,00,799"
Mumbai,2019,Maruti,IGNIS ZETA 1.2 K12 AMT,Automatic,"13,058 km",Petrol,1st Owner,"₹5,53,499"
Mumbai,2016,Hyundai,Grand i10 ASTA 1.2 (O) VTVT,Manual,"46,758 km",Petrol,1st Owner,"₹4,63,799"
Mumbai,2016,Hyundai,Grand i10 SPORTS 1.2 VTVT,Manual,"26,904 km",Petrol,1st Owner,"₹4,63,199"
Mumbai,2019,Maruti,Baleno ZETA 1.2 K12,Manual,"10,458 km",Petrol,1st Owner,"₹6,95,599"
Mumbai,2018,Maruti,Celerio ZXI,Manual,"10,199 km",Petrol,1st Owner,"₹4,56,199"
Mumbai,2015,Hyundai,Grand i10 ASTA AT 1.2 KAPPA VTVT,Manual,"10,267 km",Petrol,1st Owner,"₹4,74,799"
Mumbai,2018,Maruti,Alto 800 LXI,Manual,"8,465 km",Petrol,1st Owner,"₹3,20,799"
Mumbai,2018,Hyundai,Eon SPORTZ,Manual,"5,701 km",Petrol,1st Owner,"₹3,63,999"
Mumbai,2018,Tata,Tiago XE 1.2 REVOTRON,Manual,"12,651 km",Petrol,1st Owner,"₹3,77,899"
Mumbai,2014,Hyundai,Eon SPORTZ,Manual,"63,171 km",Petrol,1st Owner,"₹2,40,399"
Mumbai,2016,Hyundai,Elite i20 MAGNA 1.2,Manual,"28,761 km",Petrol,1st Owner,"₹5,07,999"
Mumbai,2012,Honda,Jazz 1.2 SELECT I VTEC,Manual,"65,710 km",Petrol,2nd Owner,"₹3,23,899"
Mumbai,2013,Hyundai,i20 MAGNA 1.4 CRDI,Manual,"72,869 km",Diesel,1st Owner,"₹3,94,499"
Mumbai,2018,Maruti,Alto 800 VXI,Manual,"28,494 km",Petrol,1st Owner,"₹3,29,499"
Mumbai,2012,Volkswagen,Polo HIGHLINE1.2L DIESEL,Manual,"67,595 km",Diesel,2nd Owner,"₹2,58,399"
Mumbai,2014,Maruti,Swift VXI,Manual,"28,600 km",Petrol,1st Owner,"₹4,11,999"
Mumbai,2019,Hyundai,GRAND I10 NIOS SPORTZ 1.2 AT,Automatic,"13,922 km",Petrol,1st Owner,"₹6,50,999"
Mumbai,2014,Maruti,Celerio VXI,Manual,"64,208 km",Petrol,1st Owner,"₹3,84,899"
Mumbai,2017,Datsun,Redi Go T (O),Manual,"17,774 km",Petrol,1st Owner,"₹2,56,799"
Mumbai,2020,Maruti,Baleno ZETA 1.2 K12,Manual,"20,524 km",Petrol,2nd Owner,"₹6,31,099"
Mumbai,2016,Hyundai,Elite i20 MAGNA 1.2,Manual,"14,207 km",Petrol,1st Owner,"₹5,28,899"
Mumbai,2016,Maruti,Celerio VDI,Manual,"84,347 km",Diesel,1st Owner,"₹3,82,899"
Mumbai,2018,Maruti,Baleno ALPHA 1.2 K12 AMT,Automatic,"28,661 km",Petrol,1st Owner,"₹7,04,099"
Mumbai,2016,Maruti,Baleno DELTA DDIS 190,Manual,"96,899 km",Diesel,1st Owner,"₹5,68,999"
Mumbai,2015,Maruti,Swift VXI,Manual,"44,747 km",Petrol,1st Owner,"₹4,27,899"
Mumbai,2016,Volkswagen,Polo GT TSI 1.2 PETROL AT,Automatic,"48,730 km",Petrol,2nd Owner,"₹6,02,099"
Mumbai,2017,Maruti,Baleno DELTA 1.2 K12,Manual,"10,530 km",Petrol,1st Owner,"₹6,22,199"
Mumbai,2019,Renault,Kwid RXT,Manual,"3,141 km",Petrol,1st Owner,"₹3,96,199"
Mumbai,2018,Maruti,Baleno ZETA 1.2 K12,Manual,"16,994 km",Petrol,1st Owner,"₹6,02,999"
Mumbai,2012,Hyundai,i20 SPORTZ 1.2 VTVT,Manual,"23,044 km",Petrol,1st Owner,"₹3,32,299"
Mumbai,2019,Renault,Kwid RXT 1.0 EASY-R AT OPTION,Automatic,"7,547 km",Petrol,1st Owner,"₹4,83,599"
Mumbai,2013,Honda,Brio 1.2 VX AT I VTEC,Automatic,"56,857 km",Petrol,1st Owner,"₹3,42,199"
Mumbai,2016,Maruti,Swift VXI,Manual,"39,608 km",Petrol,1st Owner,"₹4,11,099"
Mumbai,2016,Maruti,Baleno ZETA 1.2 K12 CVT,Automatic,"42,062 km",Petrol,1st Owner,"₹6,31,899"
Mumbai,2012,Hyundai,i20 MAGNA O 1.2,Manual,"94,468 km",Petrol,3rd Owner,"₹3,70,399"
